kind	id	specification	definitions	premises	conclusion	boundary	evidence	external	review_note
claim	activation_preflight	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ActivationPreflight	Reachable ControlPlane state, not paused, activationCount>0	The last activation is validated	Excludes the initial activationCount=0 case. Correctness of external observations is assumed	claims.tsv:activation_preflight	claims.tsv:activation_preflight	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	authorization_binding	docs/adr/0023-use-wallet-funded-eip712-mint-authorization.md	BridgeSpec.ClaimContracts.AuthorizationBinding;BridgeSpec.MintAuthorization.installSignature;BridgeSpec.signatureTimeAllowed;BridgeSpec.MintAuthorization.Authorization.valid	Authorization commit or signature installation is accepted	Binds the domain, epoch, and 900-second deadline from IC time; signing requires the u64 range and at least 300 seconds remaining	Cryptographic signature authenticity and correspondence between IC time and Nat are external assumptions	claims.tsv:authorization_binding	claims.tsv:authorization_binding	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	automatic_retry_limit	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.AutomaticRetryLimit	Inputs are the lane, failure count, and limit	Allowed only for the automatic lane with failures<limit	Persistence of the failure count and user resumption after stopping require separate evidence	claims.tsv:automatic_retry_limit	claims.tsv:automatic_retry_limit	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	canonical_probe	docs/bridge-flow.md	BridgeSpec.ClaimContracts.CanonicalProbe;BridgeSpec.Protocol.Safe;BridgeSpec.Protocol.filterSafeStoredState	Receipt and snapshot block numbers	The predicate is equivalent to equality of the numbers	Number equality alone does not guarantee canonical hash authenticity	claims.tsv:canonical_probe	claims.tsv:canonical_probe	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	committed_quote	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.CommittedQuote;BridgeSpec.Protocol.Safe;BridgeSpec.Protocol.filterSafeStoredState	Commit accepted, initially Safe, and an accepted trace	The net amount is positive, gross=net+fee, and the terminal recipient and net amount match the initially stored quote	A complete mapping from production to Lean traces is unproved	claims.tsv:committed_quote	claims.tsv:committed_quote	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	confirmed_activation_evidence_binding	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ConfirmedActivationEvidenceBinding	Inputs are the activation match count, generation, signedAt, and the upgrade completion hook's caller and timestamp	Activation requires a single match and exact metadata equality. For SNS upgrades, the Root completion hook must follow adoption and handoff and must not be in the future	IC callback, caller, and timestamp authenticity, absence of concurrent upgrades, and completion of SNS and IC execution are external assumptions	claims.tsv:confirmed_activation_evidence_binding	claims.tsv:confirmed_activation_evidence_binding	Adds a distinction between acceptance of a same-Wasm proposal and completion of post_upgrade. Actual SNS failure and completion are verified separately.
claim	cycles_top_up_request_policy	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.CyclesTopUpRequestPolicy	Inputs are balance, threshold, inProgress, and authorized	A request is allowed only when authorized, not in progress, and balance≤threshold	Launcher replenishment and future balance recovery are unproved	claims.tsv:cycles_top_up_request_policy	claims.tsv:cycles_top_up_request_policy	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	deposit_admission	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.DepositAdmission	admitDeposit returns a net amount	The fee, positive net amount, per-deposit limit, and window limit are satisfied	The local model has no independent reserved-amount input. Production admission including reservations has a separate Verus obligation	claims.tsv:deposit_admission	claims.tsv:deposit_admission	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	deposit_backing	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.DepositBacking;BridgeSpec.GlobalHistory.AccountingInvariant;BridgeSpec.GlobalHistory.Backed;BridgeSpec.GlobalHistory.eventDelta	Initial accounting invariant and accepted signature, mint, and refund history	Preserves backing and applies the prescribed accounting deltas for each operation	An accounting model phase does not prove actual external operations	claims.tsv:deposit_backing	claims.tsv:deposit_backing	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	deposit_identity_preflight	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.DepositIdentityPreflight	Candidate preflight is accepted in a reachable IdentityHistory state	The candidate ID has not been processed	RPC authenticity and install instance uniqueness are external boundaries	claims.tsv:deposit_identity_preflight	claims.tsv:deposit_identity_preflight	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
