runtime_toolchain	Lean kernel, Verus, Rust/LLVM, Solidity SMTChecker, Halmos/Z3, and Wasm/Solidity compilers implement their documented semantics.	committed_quote;settlement_backing;ledger_block_provenance;payment_identity;deposit_admission;deposit_identity_preflight;reservation_commit;service_fee_maximum;activation_preflight;governance_confirmation_authorization;governance_nonce_chain_binding;governance_transaction_affordability;signing_cycle_reserve;fee_recipient_rotation;fee_payout;hold_resolution;lease_outcome;notification_quota_isolation;lease_lane_isolation;funding_attempt_lifecycle;funding_reconciliation_freshness;withdrawal_finalization;withdrawal_admission_boundary;withdrawal_finality_quorum;pending_queue;canonical_probe;runtime_attestation_reuse;authorization_binding;expiry_refund;exact_mint_finalization;epoch_invalidation;reservation_lifecycle;fee_accounting_once;deposit_backing;refund_evidence_enforcement;refund_request_authorization;nonterminal_deposit_index_consistency;withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	scripts/ci-local.sh#run_proofs	proof gate records pinned tool versions and every proof result	abort release before deploy, handover, or activation
chain_key_cycle_charging	The IC management canister charges no more than the cycles attached to sign_with_ecdsa, and cost_sign_with_ecdsa returns the attachment required for the selected key and subnet.	signing_cycle_reserve	canister/bridge-canister/src/signer.rs#threshold_signature	monitor returned signing cost, liquid-cycle balance, and controller-only management reject logs	refuse signing below the checked reserve plus cost and call margin; pause deployment when chain-key charging behavior is uncertain
evm_canonicality	EVM RPC quorum and Finalized observations identify canonical Base state and bind the observed payload.	committed_quote;deposit_admission;deposit_identity_preflight;service_fee_maximum;activation_preflight;governance_nonce_chain_binding;governance_transaction_affordability;withdrawal_finalization;withdrawal_admission_boundary;withdrawal_finality_quorum;canonical_probe;runtime_attestation_reuse;authorization_binding;expiry_refund;exact_mint_finalization;refund_evidence_enforcement;payment_identity	canister/bridge-canister/src/evm_rpc.rs#committed_observation_requires_an_exact_finalized_state_match	monitor provider quorum, finalized watermark, block hash, and payload identity	pause affected flow and reject observation when quorum or binding fails
rpc_provider_chain_configuration	Production builds fix Base mainnet and the official EVM RPC canister built-in BaseMainnet service. Test-deployment operators fix each custom provider URL, its chain ID, and its upstream chain for the deployment lifetime; the one reviewed staging upgrade may replace the fixed OnFinality set with the fixed dRPC set only after all preconditions pass. Staging deployment, replacement, activation rehearsal, and monitor drill verify eth_chainId on all three custom providers. Production relies on the reviewed immutable built-in service binding and records a Finalized activation attestation through that service.	deposit_identity_preflight;service_fee_maximum;activation_preflight;governance_nonce_chain_binding;governance_transaction_affordability;withdrawal_finalization;withdrawal_finality_quorum;canonical_probe;runtime_attestation_reuse;authorization_binding;expiry_refund;exact_mint_finalization;refund_evidence_enforcement	canister/bridge-canister/src/config.rs#validate;canister/bridge-canister/src/config.rs#staging_rpc_replacement;canister/bridge-canister/src/base_governance.rs#activation_preflight;scripts/production-live-preflight.sh#verify_all_provider_chain_ids;scripts/evm-rpc-rehearsal/rehearsal.py#validate_raw_artifacts	verify immutable environment config; require reviewed chain ID artifacts for every custom staging provider before use and replacement; persist the Production Finalized activation attestation from the official built-in service; invalidate runtime attestation after staging replacement; runtime quorum monitors response agreement and availability, not provider chain switching	abort staging deployment, replacement, activation rehearsal, or monitor drill when any custom provider is unavailable, malformed, or reports another chain; reject unreviewed replacement bindings and runtime state when the quorum is inconsistent; reassess before making the Production service or chain binding mutable
ui_rpc_chain_readiness	The browser RPC used by the UI reports the configured chain before the UI enables a write.	deposit_identity_preflight;withdrawal_finalization;authorization_binding;expiry_refund;exact_mint_finalization;refund_evidence_enforcement	ui/src/lib/runtime-validation.ts#validateRuntimeHeartbeat	compare the browser RPC chain ID with the deployment profile on every runtime heartbeat	block UI writes as soon as the browser RPC reports another chain or becomes unavailable
bridge_runtime_immutability	The configured Bridge address has reviewed non-proxy runtime code without a self-destruct or runtime upgrade path, and immutable config pins its expected runtime SHA-256.	deposit_identity_preflight;service_fee_maximum;activation_preflight;withdrawal_finalization;runtime_attestation_reuse;authorization_binding;expiry_refund;exact_mint_finalization;refund_evidence_enforcement	canister/bridge-canister/src/evm_rpc.rs#runtime_matches_expected	verify the runtime hash on the first finalized observation after install and require a fresh attestation before introducing any mutable Bridge address or runtime configuration	abort the affected operation when the cold runtime attestation fails; invalidate the attestation before enabling mutable configuration
sqlite_atomicity	SQLite transactions, conditional updates, and reopen preserve atomic committed state.	settlement_backing;ledger_block_provenance;payment_identity;deposit_admission;deposit_identity_preflight;reservation_commit;service_fee_maximum;activation_preflight;governance_nonce_chain_binding;fee_recipient_rotation;fee_payout;lease_outcome;notification_quota_isolation;lease_lane_isolation;funding_attempt_lifecycle;funding_reconciliation_freshness;runtime_attestation_reuse;expiry_refund;exact_mint_finalization;reservation_lifecycle;fee_accounting_once;deposit_backing;refund_evidence_enforcement;refund_request_authorization;nonterminal_deposit_index_consistency	canister/bridge-canister/src/storage/mod.rs#deposit_admission_constraint_failure_rolls_back_records_indexes_and_counters;canister/bridge-canister/src/storage/mod.rs#confirmed_activation_completion_rolls_back_at_every_rpc_failpoint	monitor integrity checks, write failures, reopen failures, and stale CAS	reject or roll back the whole business transaction and retain retry or hold state
icrc_history	ICRC Ledger and Index history provide authentic success, duplicate, and contiguous absence evidence.	ledger_block_provenance;payment_identity;fee_payout;hold_resolution;funding_attempt_lifecycle;funding_reconciliation_freshness;expiry_refund	canister/bridge-canister/src/storage/mod.rs#withdrawal_hold_absent_resolution_rolls_back_every_write_failpoint	monitor tip, contiguous watermark, duplicate identity, and reconciliation lag	keep ReconciliationHold and prohibit resend or compensation without accepted evidence
browser_storage	Web Locks and browser storage implement serialized durable queue operations used by the UI.	withdrawal_finalization;pending_queue	ui/src/lib/generated-refinement.test.ts#protocol_queue_cases_matches_production	monitor queue decode, lock acquisition, and pending confirmation age	preserve pending state and require canonical re-observation
ui_wallet_account_authenticity	OISY and Plug return the account currently selected by the user when the UI opens or reconnects the wallet during withdrawal review.	payment_identity	ui/src/lib/ic/wallet.test.ts#rejects_a_changed_restored_OISY_account_before_an_action;ui/src/features/bridge/bridge-page-auto-refresh.test.tsx#rejects_a_changed_OISY_account_before_reviewing_the_irreversible_destination	compare owner and subaccount with the reviewed destination immediately before enabling the irreversible Base transaction	reject the review and require wallet reconnection when the live account is unavailable or differs
async_callback_identity	The IC runtime delivers callback identity without substitution and persisted lease generations bind outcomes.	lease_outcome;funding_attempt_lifecycle;funding_reconciliation_freshness	canister/bridge-canister/src/storage/mod.rs#lease_renewal_uses_real_update_time_and_stale_generation_cannot_finish	monitor generation mismatch, expired leases, and callback rejection	reject stale or foreign callback and leave the current lease authoritative
