finding_id	severity	status	remediation_evidence	regression_evidence	formal_claims_or_gate
csf_ab3d26eba00acf1bd23eb646	low	closed	admin.rs rejects confirmation-relayer overlap for pause and fee-recipient rotations	config administrator_roles_are_separated_except_for_the_staging_relayer; admin rotation transaction tests	fee_recipient_rotation; governance_confirmation_authorization
csf_426b3b36691460eb74864df2	low	closed	governance-relayer distinguishes unverified broadcast and validates terminal receipt/canister confirmation	cli.test.ts broadcast and run confirmation cases	governance_confirmation_authorization
csf_70b8576ab54482458a28572d	medium	closed	bounded_nat_u128 rejects by limb bit length; fee payout authorizes before conversion	bounded_nat_conversion_rejects_before_decimal_formatting; unauthorized fee-payout tests	deposit_admission; fee_payout
csf_ed42105a6c1d53ce73be13ab	high	closed	deposit Base verification occurs only after asset-bound Ledger funding; notification public and protected capacities are separated	funding_definitive_failure_releases_unfunded_admission_without_verification_charge; notification_admission_persists_global_budget_and_keeps_caller_isolation	notification_quota_isolation; funding_attempt_lifecycle
csf_f0d69c8efee7c7ba4f9d08db	low	closed	--transaction-hash is parsed, selected, and checked rather than ignored	uses_the_documented_transaction-hash_option_without_discarding_it	governance_nonce_chain_binding
csf_42c6cafa2a3181f0947afdea	medium	closed	baseAdminTimelock is immutable and the hidden-storage candidate replacement path was removed	BridgeAdministration and BridgeTimelock role/candidate tests	activation_preflight
csf_bfa720f2c61c0bdfe4f883f3	medium	closed	control-plane RPC calls require caller authorization, durable quota, cooldown, and complete liability cycle reserve	confirmation authorization tests; control-plane quota and cycle reserve tests	governance_confirmation_authorization; signing_cycle_reserve
csf_41249c01c43808f025e1b066	medium	closed	activation binds observed bSNS runtime hash, decimals, and minimum service fee to immutable config	runtime attestation and profile validation tests	activation_preflight; runtime_attestation_reuse
csf_1be899ef7870317812a40823	low	closed	fee-payout ICRC-21 consent is action-authorized before privileged details are rendered	consent malformed/unsupported and fee-payout authorization tests	fee_payout
csf_4ab4f3d3652dbbc380d21fc3	medium	closed	ICRC-21 calls use bounded Nat conversion plus durable admission and liability cycle checks	bounded_nat_conversion_rejects_before_decimal_formatting; consent resource-limit tests	deposit_admission; signing_cycle_reserve
csf_86f6879f932e7dff31a2e3b2	low	closed	initialize_public_config rechecks controller after every asynchronous chain-key derivation	controller reauthorization tests	activation_preflight
csf_7b7566ab4c658a091e63ea52	medium	closed	permissionless settlement/refund continuations reserve cycles for every existing deposit and withdrawal liability	new_notifications_preserve_cycles_for_every_existing_asset_liability; reserve boundary tests	settlement_backing; signing_cycle_reserve
csf_2164e8865c8dea15de23f4cb	high	closed	trusted PR materialization reads regular Git blobs only and rejects symlink modes before Docker mounts	test_candidate_script_materialization_rejects_symlinks; trusted PR gate tests	release_gate_policy
csf_8598905b59dff76a0df9969b	medium	closed	mint receipt identity accepts the exact Bridge contract log and nested mint receipt while retaining exact digest binding	exact mint receipt and digest conflict tests	exact_mint_finalization; authorization_binding
csf_44df5f8b0540aef280620ca6	medium	closed	Bridge enforces immutable nonzero MIN_SERVICE_FEE on constructor and every update	testServiceFeeRejectsBelowMinimumAndAcceptsBoundaries	service_fee_maximum
csf_1e1d26627434712b262f7c2a	medium	closed	claim checker enforces the exact mandatory 42-claim catalog and typed evidence completeness	test_release_policy_rejects_missing_mandatory_claims	claim-manifest
